Temp	s_xy	_xz	s_yz 
   425.44661    687.59258    454.37778   -459.52916 
   425.54206    395.65763    449.78879   -678.84138 
   424.44387    95.614135    427.65707   -863.88486 
   421.94107   -192.49379    397.86421   -1019.9429 
   417.94613   -446.65128    374.05971   -1157.7135 
   412.54131   -648.16306    368.30688   -1288.9568 
   406.00634   -783.93662    390.34474   -1421.6576 
   398.81269   -850.98106    440.47024   -1561.1794 
   391.58048   -852.96209    513.72903   -1708.6053 
   385.00381   -802.54444    596.80525   -1860.4329 
   379.75694   -713.05857     675.5453   -2011.0477 
   376.39932   -602.23017    732.41258   -2154.2085 
   375.29599   -485.21428    754.05583    -2283.413 
    376.5655   -378.51702    734.83117    -2391.385 
   380.06299    -297.7164    675.05259    -2471.467 
   385.40477   -256.16178    587.69153     -2518.72 
   392.02969   -264.98217    490.24073   -2532.2786 
   399.28896   -330.95508    406.62414   -2512.1021 
   406.54045   -451.45814    359.26475   -2463.8279 
   413.22574   -614.37025    363.58015   -2394.4823 
   418.91206    -800.6585    424.31036   -2310.9194 
   423.29681   -984.33172    535.68057    -2220.028 
     426.188   -1144.6833    678.04792   -2123.2039 
   427.48504   -1264.8453     828.4139   -2021.3186 
   427.17411    -1338.419    960.67779   -1913.4477 
    425.3381   -1370.1712     1053.627   -1795.5618 
   422.16764   -1368.9983    1092.9119   -1665.9083 
   417.95649   -1348.8381    1075.3122   -1524.3043 
   413.07621   -1323.3122    1004.4264   -1373.8256 
   407.93494   -1303.1138    889.52394   -1223.0956 
    402.9331   -1296.1241    740.79902   -1079.5094 
   398.42961   -1306.1417    567.68111   -953.01748 
   394.72335   -1332.8828    376.16325   -848.23978 
   392.04575   -1372.5651    171.07765   -767.58972 
   390.55755   -1414.6109   -43.241583   -708.62585 
   390.34398   -1446.3445   -263.75627   -666.92457 
   391.40525   -1456.4257     -483.522   -635.52366 
   393.64881   -1433.4502   -695.43799   -607.47701 
   396.88751   -1372.1843   -890.86641   -576.42202 
   400.85116   -1278.1442   -1062.2248   -534.44574 
   405.21051   -1161.7124   -1206.3812   -476.09273 
   409.61593   -1043.1607   -1321.5313   -398.61254 
   413.74129   -942.19035   -1411.0495   -301.89354 
   417.32779   -874.70217    -1479.765   -191.43194 
   420.21811   -848.31406   -1535.9707   -78.017117 
   422.36999   -862.72978   -1589.0409    27.975022 
   423.84994   -908.36892   -1646.4469    117.09017 
   424.80707   -969.15986   -1715.1287    183.07206 
   425.43667   -1029.1166   -1800.1058    223.09672 
   425.94193   -1075.9211    -1902.463    240.82043 
   426.50178    -1100.234   -2019.3411    243.87036 
   427.24401   -1096.8377   -2144.9862    242.14336 
   428.22681   -1062.2435   -2273.2989    247.26053 
    429.4298   -996.77226   -2396.9566    267.79589 
   430.75445   -897.80818    -2505.957    309.20269 
   432.03885   -763.22408   -2593.5315     371.1858 
   433.08281   -592.15171   -2653.1528    448.48657 
   433.68152   -389.24093   -2679.4751    532.28926 
    433.6613   -159.89981   -2671.3067    613.52813 
