# ck  ck_std  L0(P*)  L0_std(P*)  kappa(P*)  kappa_std(P*)
# 
1.936586619090790301e-02 1.502721698442523006e-02 1.567918132977651169e+01 3.759808488286618400e-01 8.385268243412606903e-01 3.152700271814294353e-01
-1.198180046888288990e-02 1.502721698442523006e-02 1.565521772883874618e+01 3.771801528276760851e-01 8.186715541875849711e-01 3.087866619241443900e-01
1.593350302162058196e-02 1.502721698442523006e-02 1.568708473488198862e+01 3.783756555174990210e-01 8.451802994469831409e-01 3.197956498337283793e-01
-6.254995179675548050e-03 1.502721698442523006e-02 1.567457474452263710e+01 3.795673928164603472e-01 8.346729624241226997e-01 3.168146402017156249e-01
-8.336354206210493806e-03 1.502721698442523006e-02 1.565790203611021525e+01 3.807554000807776839e-01 8.208720723055077384e-01 3.125514743058206979e-01
5.647566692292737590e-03 1.502721698442523006e-02 1.566919716949480090e+01 3.819397121167961151e-01 8.301964930077108118e-01 3.170850095397387824e-01
-1.157499487227744463e-02 1.502721698442523006e-02 1.564604717975024428e+01 3.831203631928862818e-01 8.111982062396526638e-01 3.107865513959536252e-01
-1.512034424661587613e-02 1.502721698442523006e-02 1.561580649125701115e+01 3.842973870510143497e-01 7.870342231878809658e-01 3.024551954908274998e-01
2.575090986073635263e-02 1.502721698442523006e-02 1.566730831097848409e+01 3.854708169179933419e-01 8.286298493415796829e-01 3.194126249483325020e-01
-1.509926188045980500e-02 1.502721698442523006e-02 1.563710978721756462e+01 3.866406855164276624e-01 8.039805111795625958e-01 3.108515759843140658e-01
-1.644603876444919368e-03 1.502721698442523006e-02 1.563382057946467540e+01 3.878070250753603010e-01 8.013403965719950728e-01 3.107654352672948872e-01
4.872250922168609548e-03 1.502721698442523006e-02 1.564356508130901346e+01 3.889698673406323803e-01 8.091872291903532410e-01 3.147494491919056170e-01
4.889446866870137721e-03 1.502721698442523006e-02 1.565334397504275543e+01 3.901292435849652573e-01 8.171390015168419341e-01 3.187898205655392836e-01
8.725027058318476567e-03 1.502721698442523006e-02 1.567079402915939212e+01 3.912851846177735626e-01 8.315232593489737534e-01 3.253627320483359897e-01
-9.152913151667683989e-03 1.502721698442523006e-02 1.565248820285605547e+01 3.924377207947181700e-01 8.164400158155953324e-01 3.204018589722758548e-01
