# freqs_THz  cepf_psd cepf_logpsd
# 
2.060576961549234198e+00 9.357573575442222646e+05 1.357328353489037731e+01
2.070579762333453644e+00 9.339011452279889490e+05 1.357129791781287231e+01
2.080582563117673089e+00 9.320581484041779768e+05 1.356932252914345582e+01
2.090585363901892535e+00 9.302330733703540172e+05 1.356736249668798244e+01
2.100588164686112425e+00 9.284305975229582982e+05 1.356542295653268582e+01
2.110590965470331870e+00 9.266553642433038913e+05 1.356350904649494105e+01
2.120593766254551760e+00 9.249119780655551003e+05 1.356162589954898046e+01
2.130596567038770761e+00 9.232050001280490542e+05 1.355977863723490451e+01
2.140599367822990207e+00 9.215389439076612471e+05 1.355797236305929232e+01
2.150602168607210540e+00 9.199182712356565753e+05 1.355621215589604667e+01
2.160604969391429986e+00 9.183473885914260754e+05 1.355450306339550259e+01
2.170607770175648987e+00 9.168306436699526384e+05 1.355285009541075070e+01
2.180610570959868877e+00 9.153723222166227642e+05 1.355125821744914916e+01
2.190613371744088766e+00 9.139766451224555494e+05 1.354973234415774286e+01
2.200616172528308212e+00 9.126477657712124055e+05 1.354827733285080882e+01
2.210618973312527658e+00 9.113897676289236406e+05 1.354689797708788035e+01
2.220621774096747103e+00 9.102066620655711740e+05 1.354559900031078001e+01
2.230624574880966993e+00 9.091023863971735118e+05 1.354438504954750222e+01
2.240627375665186882e+00 9.080808021363883745e+05 1.354326068919148085e+01
2.250630176449405884e+00 9.071456934384547640e+05 1.354223039486409874e+01
2.260632977233625329e+00 9.063007657289870549e+05 1.354129854736858896e+01
2.270635778017845219e+00 9.055496444993278710e+05 1.354046942674312426e+01
2.280638578802065108e+00 9.048958742547511356e+05 1.353974720642086460e+01
2.290641379586284110e+00 9.043429176004739711e+05 1.353913594750470217e+01
2.300644180370503999e+00 9.038941544500046875e+05 1.353863959316420207e+01
2.310646981154723445e+00 9.035528813400446670e+05 1.353826196316204111e+01
2.320649781938943335e+00 9.033223108362103812e+05 1.353800674851735053e+01
2.330652582723162780e+00 9.032055710133548127e+05 1.353787750631279785e+01
2.340655383507382226e+00 9.032057049946463667e+05 1.353787765465254012e+01
2.350658184291601671e+00 9.033256705332017737e+05 1.353801046777757833e+01
2.360660985075821561e+00 9.035683396204789169e+05 1.353827907134521702e+01
2.370663785860041006e+00 9.039364981054338859e+05 1.353868643787875214e+01
2.380666586644260452e+00 9.044328453090342227e+05 1.353923538239373414e+01
2.390669387428480341e+00 9.050599936186049599e+05 1.353992855820652608e+01
2.400672188212699787e+00 9.058204680471235188e+05 1.354076845293102238e+01
2.410674988996919232e+00 9.067167057426063111e+05 1.354175738466879331e+01
2.420677789781139122e+00 9.077510554335077759e+05 1.354289749839809254e+01
2.430680590565358568e+00 9.089257767961329082e+05 1.354419076256650634e+01
2.440683391349578013e+00 9.102430397308958927e+05 1.354563896589213456e+01
2.450686192133797903e+00 9.117049235345589695e+05 1.354724371437766806e+01
2.460688992918017348e+00 9.133134159563622670e+05 1.354900642854166826e+01
2.470691793702236794e+00 9.150704121263640700e+05 1.355092834087084164e+01
2.480694594486456239e+00 9.169777133453346323e+05 1.355301049349720799e+01
2.490697395270675685e+00 9.190370257257721387e+05 1.355525373610324635e+01
2.500700196054895574e+00 9.212499586749786977e+05 1.355765872405848604e+01
2.510702996839115020e+00 9.236180232113020029e+05 1.356022591679003142e+01
2.520705797623334909e+00 9.261426301060029073e+05 1.356295557638977733e+01
2.530708598407553911e+00 9.288250878437153297e+05 1.356584776646036339e+01
2.540711399191773801e+00 9.316666003957550274e+05 1.356890235120201282e+01
2.550714199975993690e+00 9.346682648011542624e+05 1.357211899474171979e+01
2.560717000760213136e+00 9.378310685515031219e+05 1.357549716070615098e+01
2.570719801544432137e+00 9.411558867767663905e+05 1.357903611203935235e+01
2.580722602328652027e+00 9.446434792302390561e+05 1.358273491106592701e+01
2.590725403112871916e+00 9.482944870719925966e+05 1.358659241980008581e+01
2.600728203897091362e+00 9.521094294514205540e+05 1.359060730050072330e+01
2.610731004681310807e+00 9.560886998906458030e+05 1.359477801647227402e+01
2.620733805465530253e+00 9.602325624718317995e+05 1.359910283311078416e+01
2.630736606249750142e+00 9.645411478329843376e+05 1.360357981919454318e+01
2.640739407033970032e+00 9.690144489778419957e+05 1.360820684841793238e+01
2.650742207818189033e+00 9.736523169072059682e+05 1.361298160116717781e+01
2.660745008602408479e+00 9.784544560804284411e+05 1.361790156653629325e+01
2.670747809386628369e+00 9.834204197170408443e+05 1.362296404458093946e+01
2.680750610170848258e+00 9.885496049506928539e+05 1.362816614880829036e+01
2.690753410955067260e+00 9.938412478481691796e+05 1.363350480889968530e+01
2.700756211739287149e+00 9.992944183088861173e+05 1.363897677366360384e+01
2.710759012523506595e+00 1.004908014861276723e+06 1.364457861421555585e+01
2.720761813307726484e+00 1.010680759374215035e+06 1.365030672738127926e+01
2.730764614091945930e+00 1.016611191703457618e+06 1.365615733931950615e+01
2.740767414876165375e+00 1.022697664294904214e+06 1.366212650936041229e+01
2.750770215660384821e+00 1.028938336767524597e+06 1.366821013405495400e+01
2.760773016444605155e+00 1.035331170501292800e+06 1.367440395143083443e+01
2.770775817228824156e+00 1.041873923256765585e+06 1.368070354545020706e+01
2.780778618013043602e+00 1.048564143854258000e+06 1.368710435066365427e+01
2.790781418797263491e+00 1.055399166942870012e+06 1.369360165705541021e+01
2.800784219581482937e+00 1.062376107890499756e+06 1.370019061507389857e+01
2.810787020365702382e+00 1.069491857828054344e+06 1.370686624084197724e+01
2.820789821149922272e+00 1.076743078881901223e+06 1.371362342154049863e+01
2.830792621934141717e+00 1.084126199630503310e+06 1.372045692095910852e+01
2.840795422718361163e+00 1.091637410821961705e+06 1.372736138520757265e+01
2.850798223502581052e+00 1.099272661390518304e+06 1.373433134858092863e+01
2.860801024286800498e+00 1.107027654811123153e+06 1.374136123957162425e+01
2.870803825071019943e+00 1.114897845831559971e+06 1.374844538702123309e+01
2.880806625855239833e+00 1.122878437623035628e+06 1.375557802640483374e+01
2.890809426639459279e+00 1.130964379389651585e+06 1.376275330624011595e+01
2.900812227423678724e+00 1.139150364478363423e+06 1.376996529461392882e+01
2.910815028207898614e+00 1.147430829030470923e+06 1.377720798581829165e+01
2.920817828992118059e+00 1.155799951215758920e+06 1.378447530708796798e+01
2.930820629776337505e+00 1.164251651089905296e+06 1.379176112543150623e+01
2.940823430560557394e+00 1.172779591115106829e+06 1.379905925454754900e+01
2.950826231344776840e+00 1.181377177382993978e+06 1.380636346181817053e+01
2.960829032128996285e+00 1.190037561577463523e+06 1.381366747537073536e+01
2.970831832913216175e+00 1.198753643713607453e+06 1.382096499119977295e+01
2.980834633697435621e+00 1.207518075687269447e+06 1.382824968034044666e+01
2.990837434481655066e+00 1.216323265667110682e+06 1.383551519608473335e+01
3.000840235265874956e+00 1.225161383359063650e+06 1.384275518123177307e+01
3.010843036050094401e+00 1.234024366169912741e+06 1.384996327536352645e+01
3.020845836834313403e+00 1.242903926293837139e+06 1.385713312213703574e+01
3.030848637618533736e+00 1.251791558742041001e+06 1.386425837658433835e+01
3.040851438402753182e+00 1.260678550332176266e+06 1.387133271241135901e+01
3.050854239186972627e+00 1.269555989649886964e+06 1.387834982928684369e+01
3.060857039971192073e+00 1.278414777990449686e+06 1.388530346011242322e+01
3.070859840755411962e+00 1.287245641284092329e+06 1.389218737826510974e+01
3.080862641539631408e+00 1.296039143003682839e+06 1.389899540480355533e+01
3.090865442323851298e+00 1.304785698047614424e+06 1.390572141562888753e+01
3.100868243108070299e+00 1.313475587586621055e+06 1.391235934859195744e+01
3.110871043892289745e+00 1.322098974856697954e+06 1.391890321053810631e+01
3.120873844676510078e+00 1.330645921874715714e+06 1.392534708428070722e+01
3.130876645460729524e+00 1.339106407048340887e+06 1.393168513549546006e+01
3.140879446244948525e+00 1.347470343644876964e+06 1.393791161952665014e+01
3.150882247029168415e+00 1.355727599078499246e+06 1.394402088809728824e+01
3.160885047813388304e+00 1.363868014969217824e+06 1.395000739591499084e+01
3.170887848597607750e+00 1.371881427920718677e+06 1.395586570716534958e+01
3.180890649381827195e+00 1.379757690959208878e+06 1.396159050188522954e+01
3.190893450166046641e+00 1.387486695568873780e+06 1.396717658220792124e+01
3.200896250950266086e+00 1.395058394254893530e+06 1.397261887847279560e+01
3.210899051734485976e+00 1.402462823558980133e+06 1.397791245519169756e+01
3.220901852518705422e+00 1.409690127448642859e+06 1.398305251686531392e+01
3.230904653302924867e+00 1.416730580995414639e+06 1.398803441364191436e+01
3.240907454087144313e+00 1.423574614254296990e+06 1.399285364681191624e+01
3.250910254871364646e+00 1.430212836252336856e+06 1.399750587413148395e+01
3.260913055655583648e+00 1.436636058991028694e+06 1.400198691496861514e+01
3.270915856439803093e+00 1.442835321364778094e+06 1.400629275526557649e+01
3.280918657224022983e+00 1.448801912895167945e+06 1.401041955231156066e+01
3.290921458008242872e+00 1.454527397179410094e+06 1.401436363931982676e+01
3.300924258792461874e+00 1.460003634950072970e+06 1.401812152980360793e+01
3.310927059576681764e+00 1.465222806643424788e+06 1.402168992174571471e+01
3.320929860360901209e+00 1.470177434373320313e+06 1.402506570155649612e+01
3.330932661145120655e+00 1.474860403209270909e+06 1.402824594781556833e+01
3.340935461929340544e+00 1.479264981658530422e+06 1.403122793479263031e+01
3.350938262713559990e+00 1.483384841254515573e+06 1.403400913574303743e+01
3.360941063497779435e+00 1.487214075157472864e+06 1.403658722597442754e+01
3.370943864281999325e+00 1.490747215676016640e+06 1.403896008568028542e+01
3.380946665066218770e+00 1.493979250623604516e+06 1.404112580253732823e+01
3.390949465850438216e+00 1.496905638428211911e+06 1.404308267406332078e+01
3.400952266634658105e+00 1.499522321919871261e+06 1.404482920973275384e+01
3.410955067418877551e+00 1.501825740725863725e+06 1.404636413284740115e+01
3.420957868203096552e+00 1.503812842211569892e+06 1.404768638216007481e+01
3.430960668987316886e+00 1.505481090910409810e+06 1.404879511324903518e+01
3.440963469771536332e+00 1.506828476395447738e+06 1.404968969964182790e+01
3.450966270555755777e+00 1.507853519552198937e+06 1.405036973368696529e+01
3.460969071339975223e+00 1.508555277221093653e+06 1.405083502717258703e+01
3.470971872124195112e+00 1.508933345186007442e+06 1.405108561169117287e+01
3.480974672908414114e+00 1.508987859494554577e+06 1.405112173875006931e+01
3.490977473692634891e+00 1.508719496104297694e+06 1.405094387962766866e+01
3.500980274476853893e+00 1.508129468857849017e+06 1.405055272497536478e+01
