# Solid Silica - BKS potential, melted and quenched
# 216 atoms, T~1000K, dens~2.295g/cm^3
# NVE, dt = 1.0 fs, 50 ns, output_step = 1.0 fs
# Temperature = 1065.705630 K, Volume = 3130.431110818 A^3
# LAMMPS metal units
c_flux1[1] c_flux1[2] c_flux1[3]
-186.50789 -1009.7406 -2065.4835
-179.59704 -874.0219 -2015.0037
-138.48634 -713.61112 -1915.1457
-68.052176 -534.88284 -1772.9687
24.434157 -345.26644 -1597.6845
130.23268 -153.00672 -1399.4573
240.30615 33.466881 -1187.8265
346.57593 206.45523 -970.24616
442.56933 359.76755 -751.15753
523.80234 489.34527 -532.16671
587.40162 593.51629 -313.06517
631.65112 672.86863 -93.557626
655.29861 729.73988 125.29619
657.27929 767.18623 340.56534
636.75438 787.90938 547.78031
593.60376 793.22989 741.87627
528.92209 782.56408 918.2737
445.37266 753.48706 1073.6004
346.84816 702.40653 1205.5401
237.54936 625.6225 1311.9765
120.72016 520.81544 1389.8972
-2.5961026 388.10595 1434.9283
-133.897 230.6875 1441.808
-276.7239 55.080511 1405.9394
-435.19655 -129.33104 1325.0638
-612.03544 -310.89331 1200.7746
-806.97388 -476.49046 1038.7909
-1015.7086 -612.77689 848.36406
-1229.9722 -707.15098 640.71805
-1438.7163 -749.07038 427.25038
-1629.6032 -731.52897 217.81575
-1790.9565 -652.81689 19.697157
-1913.3372 -517.58781 -162.37922
-1990.7629 -336.76336 -325.44597
-2021.3211 -125.89749 -467.07471
-2006.8098 97.125443 -584.53471
-1951.547 314.28832 -674.89032
-1860.7551 509.57734 -735.6607
-1739.1088 670.76011 -765.82517
-1589.9578 790.34847 -766.80116
-1415.5057 865.42203 -743.19258
-1217.9258 896.8437 -702.8357
-1000.6959 888.61525 -655.79168
-769.79392 847.58651 -612.81789
-533.7164 782.90482 -583.26277
-302.456 704.83812 -573.61813
-85.64806 622.75597 -586.80797
109.31937 542.95948 -622.35881
278.60797 467.14615 -677.23826
422.15796 392.23068 -746.98765
543.10031 311.90865 -826.62532
646.45542 219.06183 -911.07462
737.86024 108.53721 -995.14634
822.6589 -21.155749 -1073.365
905.33772 -167.063 -1139.983
989.2737 -322.35918 -1189.408
1076.6444 -477.61127 -1216.9892
1168.2871 -622.48035 -1219.9894
1263.2434 -747.01497 -1198.1318
1358.4841 -842.74895 -1153.6121
1448.8694 -903.15816 -1090.4727
1527.578 -923.74608 -1013.6366
1586.94 -902.00452 -927.98132
1619.5216 -837.26989 -837.54493
1619.3078 -730.93173 -745.17408
1582.7242 -586.73605 -652.39224
1509.2777 -410.87168 -559.78716
1401.698 -211.58538 -467.33986
1265.694 1.6209692 -374.79661
1109.1788 218.97999 -281.79345
941.02405 431.25639 -188.05062
769.80257 630.382 -93.61315
